,district,date,month,year,visitors
107,Karimnagar ,01-12-2016,December,2016,13890
108,Khammam,01-01-2016,January,2016,651827
109,Khammam,01-02-2016,February,2016,407533
110,Khammam,01-03-2016,March,2016,458527
111,Khammam,01-04-2016,April,2016,971622
112,Khammam,01-05-2016,May,2016,433994
113,Khammam,01-06-2016,June,2016,445862
114,Khammam,01-07-2016,July,2016,414963
115,Khammam,01-08-2016,August,2016,503654
116,Khammam,01-09-2016,September,2016,368437
117,Khammam,01-10-2016,October,2016,121575
118,Khammam,01-11-2016,November,2016,110634
119,Khammam,01-12-2016,December,2016,116403
120,Komaram Bheem Asifabad,01-01-2016,January,2016, 
121,Komaram Bheem Asifabad,01-02-2016,February,2016, 
122,Komaram Bheem Asifabad,01-03-2016,March,2016, 
123,Komaram Bheem Asifabad,01-04-2016,April,2016, 
124,Komaram Bheem Asifabad,01-05-2016,May,2016, 
125,Komaram Bheem Asifabad,01-06-2016,June,2016, 
126,Komaram Bheem Asifabad,01-07-2016,July,2016, 
127,Komaram Bheem Asifabad,01-08-2016,August,2016, 
128,Komaram Bheem Asifabad,01-09-2016,September,2016, 
129,Komaram Bheem Asifabad,01-10-2016,October,2016,0
130,Komaram Bheem Asifabad,01-11-2016,November,2016,0
131,Komaram Bheem Asifabad,01-12-2016,December,2016,0
132,Mahabubabad ,01-01-2016,January,2016, 
133,Mahabubabad ,01-02-2016,February,2016, 
134,Mahabubabad ,01-03-2016,March,2016, 
135,Mahabubabad ,01-04-2016,April,2016, 
136,Mahabubabad ,01-05-2016,May,2016, 
137,Mahabubabad ,01-06-2016,June,2016, 
138,Mahabubabad ,01-07-2016,July,2016, 
139,Mahabubabad ,01-08-2016,August,2016, 
140,Mahabubabad ,01-09-2016,September,2016, 
141,Mahabubabad ,01-10-2016,October,2016,13032
142,Mahabubabad ,01-11-2016,November,2016,114015
143,Mahabubabad ,01-12-2016,December,2016,12955
144,Mahbubnagar,01-01-2016,January,2016,577071
145,Mahbubnagar,01-02-2016,February,2016,1312068
146,Mahbubnagar,01-03-2016,March,2016,1731983
147,Mahbubnagar,01-04-2016,April,2016,622432
148,Mahbubnagar,01-05-2016,May,2016,571898
149,Mahbubnagar,01-06-2016,June,2016,561006
150,Mahbubnagar,01-07-2016,July,2016,562322
151,Mahbubnagar,01-08-2016,August,2016,1133105
152,Mahbubnagar,01-09-2016,September,2016,567712
153,Mahbubnagar,01-10-2016,October,2016,198592
154,Mahbubnagar,01-11-2016,November,2016,256375
155,Mahbubnagar,01-12-2016,December,2016,210202
156,Mancherial,01-01-2016,January,2016, 
157,Mancherial,01-02-2016,February,2016, 
158,Mancherial,01-03-2016,March,2016, 
